,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster_agg,cluster_knn,id,names
0,0.854,0.674,-6.23,0.184,0.0517,8.53e-05,0.509,0.848,99.022,215467,0,3,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
1,0.548,0.805,-5.732,0.351,0.212,0.000405,0.408,0.649,142.096,216387,0,0,79s5XnCN4TJKTVMSmOx8Ep,Dior
2,0.461,0.897,-3.982,0.092,0.00821,0.0,0.0965,0.358,165.107,220537,0,0,4GssB27iJeqmfGxS94Tfij,Popular Monster
3,0.784,0.627,-14.617,0.0572,0.0425,0.717,0.0645,0.952,136.879,151440,0,3,45aoC0yE3RZGWz5QPb41M1,Popcorn
4,0.769,0.818,-1.385,0.192,0.263,0.0,0.0787,0.918,88.017,240800,0,3,4E5IFAXCob6QqZaJMTw5YN,Poppin' Them Thangs
5,0.772,0.423,-8.452,0.0562,0.00905,0.516,0.14,0.281,157.156,122187,0,0,3xvzR05d6KgexfzjJgDRDl,Pop like this Pt. 2 - Slowed
6,0.772,0.639,-7.119,0.467,0.15,0.0,0.0698,0.261,168.112,166560,0,0,6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay)
7,0.461,0.898,-3.982,0.0931,0.0083,0.0,0.0963,0.353,165.079,220537,0,0,4myFsmx2v6znDOJfn3IkbD,Popular Monster
8,0.566,0.769,-4.342,0.0872,0.0183,0.0,0.108,0.385,170.036,191100,0,0,5sbooPcNgIE22DwO0VNGUJ,POP/STARS
9,0.548,0.732,-5.652,0.336,0.125,0.0,0.269,0.612,142.791,127547,0,0,792HwhrdO3ErRKL5yRe4Ge,Invincible
10,0.8,0.56,-4.818,0.261,0.057,0.0,0.134,0.45,163.071,200221,0,0,6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake)
11,0.842,0.461,-5.189,0.0675,0.000624,0.623,0.0545,0.48,100.001,99657,0,3,2Ct0MnmqHDvjLqpi5gxcSM,Pop like this Pt. 2
12,0.73,0.782,-3.884,0.05,0.0766,0.0338,0.106,0.593,180.068,133333,0,0,4BLbZo3DCqQXMzogWV1GNP,POPTHATRUNK
13,0.921,0.447,-5.216,0.0644,0.594,0.0,0.0747,0.967,119.935,147147,0,3,78OoAXLABHHTGGibQxdA5c,Der Popo-Tango (Argentinien)
14,0.705,0.613,-7.441,0.123,0.262,6.97e-06,0.198,0.259,74.521,167187,0,2,3wn8nOygkHLUQ9dlXM1rKW,Poppin
15,0.688,0.647,-7.258,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580,0,2,25zlnOAzbVoOzIeXSvQFf1,Got It On Me
16,0.842,0.461,-5.189,0.0677,0.000624,0.623,0.0545,0.481,100.001,99657,0,3,53dGCRXGyCUV5Ycoy6Md34,Pop like this Pt. 2
17,0.63,0.724,-5.543,0.105,0.0138,6.92e-05,0.196,0.237,143.024,214960,0,0,0fIffclhgJC5h8AdMMVvkp,Welcome To The Party
18,0.48,0.602,-6.335,0.368,0.487,0.0,0.0848,0.269,179.798,213333,0,0,5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay)
19,0.725,0.446,-8.958,0.0287,0.85,0.243,0.107,0.311,90.024,187333,0,1,0So2sgVa8aJiARPl2P29u2,Pope Is a Rockstar
20,0.396,0.755,-12.858,0.0355,0.00489,0.679,0.0815,0.903,138.973,149893,0,2,5ugE6naTRxc9tLYxnVjWBj,Popcorn - Original
21,0.769,0.618,-6.618,0.209,0.082,4e-06,0.202,0.556,140.026,139947,0,0,3V6hi3OelDuKSQykiskDeB,POPPIN
